Model,RMSE,R2,MAPE
ARIMA,43.63673308946214,0.9843634348891849,0.8037171505434048
AutoARIMA,43.679175106368625,0.9843330031839416,0.8052004162979699
LSTM,47.3833780397199,0.9888130029361288,0.9739073151629937
