number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_neurons,state
43,0.033656578597402106,2024-02-01 15:50:17.659883,2024-02-01 15:50:46.723717,0 days 00:00:29.063834,32,83,0.01,100,COMPLETE
44,0.029033684887024187,2024-02-01 15:50:46.742937,2024-02-01 15:51:11.998692,0 days 00:00:25.255755,32,72,0.01,100,COMPLETE
45,0.04359991576226098,2024-02-01 15:51:12.018782,2024-02-01 15:51:24.699105,0 days 00:00:12.680323,64,62,0.01,100,COMPLETE
46,0.043027792413677976,2024-02-01 15:51:24.713604,2024-02-01 15:51:45.288259,0 days 00:00:20.574655,32,90,0.001,50,COMPLETE
47,0.029768842861518797,2024-02-01 15:51:45.306928,2024-02-01 15:52:30.375506,0 days 00:00:45.068578,32,100,0.01,150,COMPLETE
48,0.14995575601067573,2024-02-01 15:52:30.395851,2024-02-01 15:52:37.427145,0 days 00:00:07.031294,128,94,0.0001,30,COMPLETE
49,0.02954739259820205,2024-02-01 15:52:37.452665,2024-02-01 15:52:57.025410,0 days 00:00:19.572745,32,56,0.01,100,COMPLETE
50,0.12858909315185166,2024-02-01 15:52:57.042602,2024-02-01 15:53:28.306564,0 days 00:00:31.263962,32,71,0.1,150,COMPLETE
51,0.031108415483488566,2024-02-01 15:53:28.325452,2024-02-01 15:53:53.571293,0 days 00:00:25.245841,32,73,0.01,100,COMPLETE
52,0.028646983972123147,2024-02-01 15:53:53.587635,2024-02-01 15:54:20.403018,0 days 00:00:26.815383,32,78,0.01,100,COMPLETE
53,0.03160697787993384,2024-02-01 15:54:20.419806,2024-02-01 15:54:46.729455,0 days 00:00:26.309649,32,77,0.01,100,COMPLETE
54,0.029043697140547935,2024-02-01 15:54:46.746323,2024-02-01 15:55:15.103380,0 days 00:00:28.357057,32,83,0.01,100,COMPLETE
55,0.03641407726507289,2024-02-01 15:55:15.121214,2024-02-01 15:55:30.465271,0 days 00:00:15.344057,64,67,0.01,100,COMPLETE
56,0.03312029873040866,2024-02-01 15:55:30.480922,2024-02-01 15:55:43.081475,0 days 00:00:12.600553,32,49,0.01,50,COMPLETE
57,0.050937165905622264,2024-02-01 15:55:43.098389,2024-02-01 15:56:11.270164,0 days 00:00:28.171775,32,79,0.001,100,COMPLETE
58,0.025305233915114272,2024-02-01 15:56:11.285337,2024-02-01 15:56:49.117554,0 days 00:00:37.832217,32,84,0.01,150,COMPLETE
59,0.03597475136517923,2024-02-01 15:56:49.131932,2024-02-01 15:57:28.762063,0 days 00:00:39.630131,32,88,0.01,150,COMPLETE
60,0.02881815454080925,2024-02-01 15:57:28.780739,2024-02-01 15:57:51.263080,0 days 00:00:22.482341,64,84,0.01,150,COMPLETE
61,0.0278073943348602,2024-02-01 15:57:51.276356,2024-02-01 15:58:25.246251,0 days 00:00:33.969895,32,76,0.01,150,COMPLETE
62,0.0319846114358872,2024-02-01 15:58:25.259902,2024-02-01 15:58:58.129670,0 days 00:00:32.869768,32,74,0.01,150,COMPLETE
63,0.027684324771536657,2024-02-01 15:58:58.144092,2024-02-01 15:59:38.414945,0 days 00:00:40.270853,32,91,0.01,150,COMPLETE
64,0.02837095434838533,2024-02-01 15:59:38.431626,2024-02-01 16:00:19.282053,0 days 00:00:40.850427,32,92,0.01,150,COMPLETE
65,0.026848816631753016,2024-02-01 16:00:19.311323,2024-02-01 16:01:02.867479,0 days 00:00:43.556156,32,97,0.01,150,COMPLETE
66,0.028849212026872774,2024-02-01 16:01:02.887774,2024-02-01 16:01:45.716849,0 days 00:00:42.829075,32,96,0.01,150,COMPLETE
67,0.07436879902303568,2024-02-01 16:01:45.731910,2024-02-01 16:02:29.104121,0 days 00:00:43.372211,32,98,0.0001,150,COMPLETE
68,0.09017597822758411,2024-02-01 16:02:29.119465,2024-02-01 16:03:08.118840,0 days 00:00:38.999375,32,88,0.1,150,COMPLETE
69,0.043646331098611255,2024-02-01 16:03:08.133693,2024-02-01 16:03:26.180755,0 days 00:00:18.047062,128,94,0.01,150,COMPLETE
70,0.02770442375504568,2024-02-01 16:03:26.195853,2024-02-01 16:04:08.979415,0 days 00:00:42.783562,32,82,0.01,150,COMPLETE
71,0.03386770554039566,2024-02-01 16:04:08.995103,2024-02-01 16:04:46.849986,0 days 00:00:37.854883,32,81,0.01,150,COMPLETE
72,0.029536374460665323,2024-02-01 16:04:46.864841,2024-02-01 16:05:28.110085,0 days 00:00:41.245244,32,90,0.01,150,COMPLETE
73,0.033920391668584064,2024-02-01 16:05:28.124296,2024-02-01 16:05:47.744150,0 days 00:00:19.619854,32,40,0.01,150,COMPLETE
74,0.027857084756400745,2024-02-01 16:05:47.760424,2024-02-01 16:06:26.379052,0 days 00:00:38.618628,32,85,0.01,150,COMPLETE
75,0.03574351880228151,2024-02-01 16:06:26.399675,2024-02-01 16:07:09.871641,0 days 00:00:43.471966,32,97,0.01,150,COMPLETE
76,0.03710641412449426,2024-02-01 16:07:09.885501,2024-02-01 16:07:51.206180,0 days 00:00:41.320679,32,91,0.001,150,COMPLETE
77,0.03957013481188491,2024-02-01 16:07:51.224342,2024-02-01 16:08:13.010543,0 days 00:00:21.786201,32,82,0.01,30,COMPLETE
78,0.029151378136821244,2024-02-01 16:08:13.038621,2024-02-01 16:08:52.971209,0 days 00:00:39.932588,32,88,0.01,150,COMPLETE
79,0.03217634724052703,2024-02-01 16:08:52.987715,2024-02-01 16:09:16.506793,0 days 00:00:23.519078,64,85,0.01,150,COMPLETE
80,0.1206361742105572,2024-02-01 16:09:16.519913,2024-02-01 16:09:39.335149,0 days 00:00:22.815236,32,95,0.1,50,COMPLETE
81,0.027505118375313924,2024-02-01 16:09:39.360137,2024-02-01 16:10:17.938256,0 days 00:00:38.578119,32,85,0.01,150,COMPLETE
82,0.025642073572213264,2024-02-01 16:10:17.952596,2024-02-01 16:10:54.176100,0 days 00:00:36.223504,32,80,0.01,150,COMPLETE
